DAY,Section,ROOM1 8-9,ROOM2 9-10,ROOM3 10-11,ROOM4 11-12,ROOM5 12-1,ROOM6 1-2,ROOM7 2-3,ROOM8 3-4,ROOM9 4-5,ROOM10 5-6,
MON,CSE-15,,,,OOPJ,DSS,COA,,DBMS,DBMS(L),DBMS(L),
TUE,CSE-15,,,,OS,STW,DSS,,COA,OOPJ,DBMS,
WED,CSE-15,,VT(L),VT(L),,,,DSS,STW,COA,OS,
THU,CSE-15,,,,,,,,,,,
FRI,CSE-15,,,,COA,OOPJ,DBMS,,DSS,OOPJ(L),OOPJ(L),
SAT,CSE-15,,,,,,,,OS,OS(L),OS(L),
